iter	Passed	Remaining
687	63414	128119
688	63527	128068
689	63632	128002
690	63713	127887
691	63782	127748
692	63884	127676
693	63989	127611
694	64063	127482
695	64134	127347
696	64229	127261
697	64330	127186
698	64412	127074
699	64508	126990
700	64613	126923
701	64720	126859
702	64813	126769
703	64917	126699
704	65001	126591
705	65101	126513
706	65199	126434
707	65289	126337
708	65361	126204
709	65461	126128
710	65567	126062
711	65658	125968
712	65753	125881
713	65859	125815
714	65960	125740
715	66052	125647
716	66151	125568
717	66244	125476
718	66363	125434
719	66488	125405
720	66579	125309
721	66677	125227
722	66767	125131
723	66863	125045
724	66940	124925
725	67043	124852
726	67149	124784
727	67230	124672
728	67310	124557
729	67393	124446
730	67496	124373
731	67596	124295
732	67694	124214
733	67790	124129
734	67871	124015
735	67954	123905
736	68045	123810
737	68140	123723
738	68242	123648
739	68326	123541
740	68421	123453
741	68521	123376
742	68604	123266
743	68710	123199
744	68797	123096
745	68888	123001
746	68989	122925
747	69084	122837
748	69202	122790
749	69300	122708
750	69406	122638
751	69510	122567
752	69601	122473
753	69679	122354
754	69765	122252
755	69855	122153
756	69961	122086
757	70070	122022
758	70166	121936
759	70263	121851
760	70341	121734
761	70416	121612
762	70496	121498
763	70594	121414
764	70691	121331
765	70774	121222
766	70863	121124
767	70966	121048
768	71063	120964
769	71160	120880
770	71261	120803
771	71363	120726
772	71462	120644
773	71555	120552
774	71640	120448
775	71736	120361
776	71833	120276
777	71948	120222
778	72063	120167
779	72171	120100
780	72267	120014
781	72372	119942
782	72477	119870
783	72575	119786
784	72671	119699
785	72765	119608
786	72849	119502
787	72922	119378
788	73025	119302
789	73128	119227
790	73238	119163
791	73338	119082
792	73431	118989
793	73530	118909
794	73616	118804
795	73709	118713
796	73817	118644
797	73905	118544
798	74007	118468
799	74139	118438
800	74231	118344
801	74338	118273
802	74427	118176
803	74512	118070
804	74612	117989
805	74712	117908
806	74806	117817
807	74909	117742
808	75013	117667
809	75113	117585
810	75211	117501
811	75283	117375
812	75364	117264
813	75445	117153
814	75546	117073
815	75658	117011
816	75785	116971
817	75886	116891
818	75990	116814
819	76068	116700
820	76154	116596
821	76253	116513
822	76368	116455
823	76450	116346
824	76545	116256
825	76637	116162
826	76743	116090
827	76845	116010
828	76933	115910
829	77003	115783
830	77075	115659
831	77169	115568
832	77249	115456
833	77320	115332
834	77399	115219
835	77472	115096
836	77577	115021
837	77666	114924
838	77767	114843
839	77850	114736
840	77948	114652
841	78052	114575
842	78157	114501
843	78240	114393
844	78327	114292
845	78421	114203
846	78522	114122
847	78619	114034
848	78700	113925
849	78811	113860
850	78901	113763
851	79005	113686
852	79077	113563
853	79163	113461
854	79271	113391
855	79353	113283
856	79435	113175
857	79539	113098
858	79650	113031
859	79751	112949
860	79837	112848
861	79933	112759
862	80032	112675
863	80121	112578
864	80223	112498
865	80330	112425
866	80409	112314
867	80486	112199
868	80560	112080
869	80638	111966
870	80735	111879
871	80833	111795
872	80904	111672
873	81009	111596
874	81107	111511
875	81210	111432
876	81300	111336
877	81376	111220
878	81485	111150
879	81572	111049
880	81680	110977
881	81785	110901
882	81863	110789
883	81953	110692
884	82060	110619
885	82170	110550
886	82245	110433
887	82341	110344
888	82430	110247
889	82531	110165
890	82606	110048
891	82690	109944
892	82773	109839
893	82863	109743
894	82970	109669
895	83060	109573
896	83149	109476
897	83264	109412
898	83345	109303
899	83447	109223
900	83540	109131
901	83626	109030
902	83725	108944
903	83819	108854
904	83925	108778
905	84025	108694
906	84126	108613
907	84233	108538
908	84315	108431
909	84422	108358
910	84513	108262
911	84589	108148
912	84665	108034
913	84756	107939
914	84847	107844
915	84956	107772
916	85033	107660
917	85141	107586
918	85214	107469
919	85296	107362
920	85408	107293
921	85515	107218
922	85605	107122
923	85688	107018
924	85791	106937
925	85897	106861
926	86003	106785
927	86107	106707
928	86195	106607
929	86324	106560
930	86442	106497
931	86538	106409
932	86635	106321
933	86727	106227
934	86802	106112
935	86881	106003
936	86989	105928
937	87072	105824
938	87162	105727
939	87257	105637
940	87362	105558
941	87448	105458
942	87552	105379
943	87655	105298
944	87758	105217
945	87872	105150
946	87967	105059
947	88036	104938
948	88122	104836
949	88231	104763
950	88334	104682
951	88440	104605
952	88540	104520
953	88645	104441
954	88747	104360
955	88845	104272
956	88945	104187
957	89025	104079
958	89106	103973
959	89206	103888
960	89305	103802
961	89386	103695
962	89490	103615
963	89573	103511
964	89671	103424
965	89756	103322
966	89855	103236
967	89935	103129
968	90028	103035
969	90124	102946
970	90224	102861
971	90325	102778
972	90426	102693
973	90533	102617
974	90637	102536
975	90739	102453
976	90835	102364
977	90920	102262
978	90989	102142
979	91087	102055
980	91186	101969
981	91259	101853
982	91359	101768
983	91452	101675
984	91539	101576
985	91630	101480
986	91716	101380
987	91816	101295
988	91915	101209
989	92026	101136
990	92134	101060
991	92229	100968
992	92308	100860
993	92410	100777
994	92501	100682
995	92593	100588
996	92678	100487
997	92766	100388
998	92868	100305
999	92969	100221
1000	93073	100140
1001	93161	100041
1002	93251	99945
1003	93352	99861
1004	93466	99791
1005	93571	99710
1006	93669	99622
1007	93751	99517
1008	93854	99435
1009	93951	99346
1010	94054	99263
1011	94164	99188
1012	94251	99089
1013	94342	98994
1014	94434	98900
1015	94537	98817
1016	94632	98726
